song_title,song_lyrics,song_artist
Hands Up,"[Hook]  Hands up  Coming with rhythms to make you head jerk  We makin' the whole joint short circuit   Hands high touch the sky get 'em up  Get 'em [x7]    We gone make you move  We gone make you hot  Elbows above your head peoples  We holdin' up the spot   We gone get it goin' even if y'all don't be knowin'  'Cuz this shit that we throwing get you going gone retarded  Started up, bangin' out hits  Now we're chartin' up  Didn't mean to bump you, pardon us  Diggin' this cut 'cause we sharpened up  You dumbing it down, we smartened it up  We penetrate even though your guard was up  Get down to the Peas 'cuz we fallin' up  Electric 'cuz we like charging up  We the B E Peas uh  Rhythmic sonic pleaser  Getcha hot like fever, boiling two hundred degrees ah  You're burning up  Heat's getting low let me turn it up  Let me f*ck you up your ear 'til my sperm is up in your brain  And the baby Wil I Am's be sayin'    [Hook]    Tabamatic oh man you flows  Deeper than Atlantic O's   A-pl-de Ap got ridiculous flows  Catchin' rhythm makin' 'em grow  Mathematic A-pl will go  Up in the scene we original   You know what I mean be, be mineral   Stormin' strong for my several   Barricade laid for you terribles ho  I'm the chief Fil-I-pi-no  Letting you know we're about to blow  Wil-I-Am, Ap, and Tab double O  Set 'em up, set ' em up, set 'em up  Time for us to raise it up  Never goin' down always headed up  Raise your hands 'cuz we blaze it up  Anybody here who waited long  To you I dedicate this song  Ain't nothing wrong gotta make you right  Straight to the point this is the new joint  And you know this is the jam y'all  Come on down and dance y'all   Have ball y'all throw you hands up    [Hook]    [Break]  Black Eyed Peas will announce  Somethin' you can't avoid   You need to b-b-b-bounce to this  B-b-b-b-b-b-bounce to our joint  We come with more than an ounce   More like a ton full of noise   So b-b-b-bounce to this  B-b-b-b-b-b-bounce to our joint  We came to getcha, getcha   Bouncin' so getch, getcha ass up  We gotcha, gotcha movin' let's make it hotter  Hotter than molted lava  Bubbling like boiling water ah    [Hook]",Black Eye Peas
Labor Day (It's a Holiday),"When I step in the room  I bring the heat like the month of June  Crank the vibe, you make the bass go boom  Wil' out like we some wild baboon  We go bananas to the tune  I want to throw bows  Give me elbow room (move nigga)  When I'm out...  I'm ready to consume  Let's hit the sun roof cuz...  It's a holiday all we has to celebrate  And that's the way we do it  Don't ask why we do it  That's just the way it be  Lovin double D's up at the A D  When I partyin' in Hollywood VIP  I don't understand this TOD     [Chorus]  We party forever  We get down together  We don't stop, no!  And we don't quit  Let's get it going cause you know we gonna celebrate  â??Cuz its a holiday  I don't work today   Or the next three days  So let's celebrate  It's a holiday  I don't work today   Nooooooooooo  All we has to celebrate     It's time to celebrate  Servin' up heat rocks on a hot plate  Like that y'all  It's a festive date  Make it go ape  And raise your heart rate  We gonna stay out late  Party till the mornin' and wake up late  We do it to the day break   Go on and on then on and on and...  Dance to my rhyme  I can holla a capellas def till ya blind  You're mine baby   Take you to the width of your behind baby  Take a sip of mo' and just recline baby  Cock me back and stroke my 9 baby  We don't stop girl  We don't quit, no!  We dont' quit, no!  We don't quit     [Chorus]     [Break]  Don't stop it, just push it  Don't stop it, just push it  Move your body and push it   Get naughty and push it  We gonna party and push it  We gonna party and push it  Move your body and push it  Get naughty and push it  â??Cuz it's a holiday all we has to celebrate    It's time to get wasted   And scope the whole place  For girls with cute faces  â??Cuz I see some fly mamas  So pack your pajamas  But don't bring the drama  But you can bring you melody  I'll plug in my mic and sing my harmony  La la la la  Oh how many times we gonna hit it  How many times we gonna split it  How many times she gonna get it  Or else you are gonna  When I comes over  You're gonna have to wanna...  â??Cuz I'm the alligator champ  Drivin' a train   Drivin' a train  Or you can put your friend   On the Swiss malane  And get buddy buddy  With your friend Mary Jane  She really blows my brain  She really blows my brain     [Chorus]     (So we do it every day  So we do it every night  And we do it in the club  Yeah, ugh, it's my birthday)",Black Eye Peas
Let's Get Retarded,"Let's get retarded in here  And the bass keeps running, running and runnin runnin' And runnin' runnin' and runnin' runnin' and runnin' runnin' And runnin' runnin' and runnin' runnin, and runnin' runnnin' and  In this context, there's no disrespect So when I bust my rhyme, you break ya necks We got five minutes for us to disconnect From all intellect and let the rhythm effect  Obstacles and inhibition follow your intuition Free your inner soul and break away from tradition Cause when we be out, girlie's pull their weave out You wouldn't believe how we wow shit out Burnin 'til it's burned out, turn it 'til it's turned out Act up from North West East South  Everbody, everybody, just get into it, get stupid Get retarded, get retarded, get retarded Let's get retarded, (ha) let's get retarded (in here) Let's get retarded, (ha) let's get retarded (in here) Let's get retarded, (ha) let's get retarded (in here) Let's get retarded, (ha) let's get retarded (in here) yeah  Lose control, up outta your soul Don't move to fast, people, just take it slow Don't get ahead, just jump into it Y'all hear about it, the peas will do it Get started, get stupid Don't worry about it, people will walk you through it Step by step like your into new kid Inch by inch with the new solution Transmit hits with no delusion The feeling's irresistible and thats how we move it  Everbody, everybody, just get into it, get stupid Get retarded, get retarded, get retarded Let's get retarded, (ha) let's get retarded (in here) Let's get retarded, (ha) let's get retarded (in here) Let's get retarded, (ha) let's get retarded (in here) Let's get retarded, (ha) let's get retarded (in here) yeah  Runnin' runnin' and runnin' runnin' and runnin' runnin'  Come on y'all, let's get (cuckoo), let's get (cuckoo) in here Why not get (cuckoo), let's get (cuckoo) in here Why not get (cuckoo), let's get (cuckoo) in here  Ohh ohh ohh, yada, yada, yada, yada, yada, yada, yada Yada, yada, yada, yada, yada, yada, yada, yada, yada  Let's get ill, thats the deal Apple the gate, and Will bring the thugged out drill (just) Lose your mind, this is the time Y'all can't stand still, trust and bang your spine (just) Bob your head like epilepsy Up inside the club or in your Bentley Get messy, loud and sick You mind pass normal or another head trip So, come them now, do not correct it Let's get ignorant, let's get hectic  Everybody, everybody, just get into it, get stupid Get retarded, get retarded, get retarded Let's get retarded, (ha) let's get retarded (in here) Let's get retarded, (ha) let's get retarded (in here) Let's get retarded, (ha) let's get retarded (in here) Let's get retarded, (ha) let's get retarded (in here) yeah  Whoa, cuckoo, cuckoo, in here Let's get cuckoo, cuckoo in here Let's get cuckoo, cuckoo in here Ohh ohh ohh, yada, yada, yada, yada, yada, yada, yada Yada, yada, yada, yada, yada, yada, yada, yada, yada  And runnin' runnin' and runnin' runnin' and runnin' runnin' and",Black Eye Peas
Hey Mama,"(La, la, la, la, la) Hey mama, it's that shit that makes you move, mama Get on the floor and move your booty, mama We the blast masters blastin' up the jamma (Rewind) Cutie cutie, make sure you move your booty Shake that thing like we in the city of sin, and Hey shorty, I know you wanna party The way your body look really make me feel naughty Cutie cutie, make sure you move your booty Shake that thing like we in the city of sin, and Hey shorty, I know you wanna party The way your body look really make me feel naughty  I got a naughty naughty style and a naughty naughty crew But everything I do, I do just for you I'm a little bit of Or, and a bigger bit of Nu The true niggers know that the peas come through We never cease (no), we never die no we never disease(no) We multiply like we mathematics Then we drop bombs like we in the middle east (The bomb bombas, the base move dramas) Nah y'all knaw, who we are Y'all knaw, we the stars Steady rockin' on y'alls boulevards And, lookin' hot without body guards (I do) what I can (Y'all come through) Will.i.am And still I stand, with still mic in hand (So come on mama, dance to the druma)  Hey mama, this that shit that make you groove, mama (Hey) Get on the floor and move your booty, mama (Yaw) We the blast mastas blastin' up the jamma (Hey) So shake your bambama, come on now mama Hey mama, this that shit that make you groove, mama (Hey) Get on the floor and move your booty, mama (Yaw) we the blast mastas blastin' up the jamma (La, la, la, la, la)  We the big town stumpas, and and big sound pumpas The beat bump bumpas in your trunk trunkas The girlies in the club with the big plump plumpas And when I'm makin' love, my hip hump humps It never quits (no) we need to carry 9mm clips (no) Don't wanna squize trigger, just wanna squeeze tits (Lubaluba) 'Cause we the show stoppas And the chief rockas, number one chief rockas Naw y'all knaw, who we are Y'all knaw, we the stars Steady rockin' on y'alls boulevards How we rockin' it girl, without body guards Now she be, Fergie from the crew bep, come and take heed, as we take the lead (So come on bubba, dance to the druma)  Hey mama, this that shit that make you groove, mama (Yaw) Get on the floor and move your booty, mama (Yuh) We the blast mastas blastin' up the jamma (Nah, nah) Cutie cutie, make sure you move your booty Shake that thing like we in the city of sin, and Hey shorty, I know you wanna party The way your body look really make me feel naughty  But the race is not, for the Swiss But who really can, take control of it And tippa irie and the black eyed peas will be there 'Til infiniti, 'til infiniti, 'til infiniti, 'til infiniti Tippa is out  Nosa dima shock, nosa dima ting Every time you sit there I hear, bling bling O wata ting, hear blacka sing Grinding, and winding And the madda be moving in a perfect timing And we dance and dance to the end of the thing And we're really to nice, it finga akin Like rice and peas and chicken and bling  Hey mama, this that shit that make you groove, mama (Hey) Get on the floor and move your booty mama (Yaw) We the blast mastas blastin' up the jamma (Hey) So shake your bambama, come on now mama Hey mama, this that shit that make you groove, mama (Hey) Get on the floor and move your booty mama (Yaw) We the blast mastas blastin' up the jamma (la la la la la)",Black Eye Peas
Shut Up,"Shut up, just shut up, shut up Shut up, just shut up, shut up Shut up, just shut up, shut up Shut it up, just shut up, shut up Shut up, just shut up, shut up Shut up, just shut up, shut up (oh no) Shut up, just shut up, shut up Shut it up, just shut up, shut up  We try to take it slow But we're still losin' control And we try to make it work But it still ends up the worst, and I'm crazy For tryna be your lady I think I'm goin' crazy  Girl, me and you were just fine, you know We wine and dine Did them things that couples do when in love (you know) Walks on the beach and stuff (you know) Things that lovers say and do I love you boo, I love you too I miss you a lot, I miss you even more That's why I flew you out when we was on tour But then something got outta hand You start yellin' when I'm with my friends Even though I had legitimate reasons (bullshit) You know I have to make them dividends (bullshit) How could you trust your private eyes, girl? That's why you don't believe my lies, and quick to say  Shut up, just shut up, shut up Shut it up, just shut up, shut up We try to take it slow But we're still losin' control And we try to make it work But it still ends up the worst, and I'm crazy For tryna be your lady I think I'm goin' crazy  Why does emotion gotta move so fast? Love is progress if you could make it last Why is it that you just lose control? Every time you agree on takin' it slow So why is it got to be so damn tough? 'Cause fools in lust could never get enough of love Showin' him the love that you be givin' Changing up your livin' for a lovin' transition Girl, it's a mission tryna get you to listen We mad at each other has become our tradition You yell, I yell, everybody yells Got neighbors across the street sayin' ""Who the hell?"" Who the hell? What the hell's goin' down? Too much of the bickering Kill it with the sound and  Shut up, just shut up, shut up Shut it up, just shut up, shut up We try to take it slow But we're still losin' control And we try to make it work But it still ends up the worst And I'm crazy (for what?) (Crazy for what?) For tryna be your lady (oh yeah) I think I'm goin' crazy  Shut up, just shut up, shut up (what?) Shut up, just shut up, shut up (whatcha say?) Shut up, just shut up, shut up (what?) Shut it up, just shut up, shut up (girl, whatcha say?) Shut up, just shut up, shut up (girl, whatcha say?) Shut up, just shut up, shut up (no, girl) Shut up, just shut up, shut up Shut it up, just shut up, shut up  Girl, our love is dying Why did you stop tryin' I never been a quiter But I do deserve better Believe me I will do bad Let's forget the past and start this new plan Why? 'Cause it's the same old routine And then next week I hear them scream Girl, I know you're tired of the things they say You're damn right 'Cause I heard them lame dame excuses just yesterday That was a different thing No, it ain't That was a different thing No, it ain't That was a different thing It was the same damn thing Same ass excuses Boy you're useless Woah, oh  Shut up, just shut up, shut up Shut up, just shut up, shut up Shut up, just shut up, shut up Shut it up, just shut up, shut up Shut up, just shut up, shut up (Don't go now, no please, I don't know) Shut up, just shut up, shut up (oh no) Shut up, just shut up, shut up Shut it up, just shut up, shut up  Stop the talking, baby Or I start walking, baby Stop the talking, baby (yeah, yeah) Or I start walking, baby Stop the talking, baby Or I start walking, baby Stop the talking, baby (no, oh, oh, oh) Or I start walking, baby Stop the talking, baby (is that all there is?) Or I start walking, baby Stop the talking, baby (is that all there is?) Or I start walking, baby Stop the talking, baby (is that all there is?) Or I start walking, baby Stop the talking, baby (is that all there is?) Or I start walking, baby Stop the talking, baby (is that all there is?) Or I start walking, baby Stop your yapping, baby (is that all there is?) Look what happened, baby Stop the talking, baby (is that all there is?) Or I start walking, baby Stop your yapping, baby (is that all there is?) Look what happened, baby Is that all there is? Is that all there is? Is that all there is? Is that all there is?",Black Eye Peas
Smells Like Funk,"Yeah that's funky (funky) Yeah that's funky (funky) Yeah that's funky (funky)   [Chorus] If it smells like funk it must be us Funk funk out chickies dank your stuff  If it smells like funk it must be us Funk funk out chickies dank your stuff  If it smells like funk it must be us Funk funk out chickies dank your stuff If it smells like funk it must be us Cause nobody's funky as us Cause we keep it stinky, (stinky) We keep it stinky ( stinky) We keep it stinky (stinky) stinky stinky stinky  The funk phenomenon We funk you on and on  There's no need to hold your nose Cause this funk stink like a rose Big booty funk toe jam funk underarm funk  Like you headlockin' a skunk Reakin' like disease, athletes feet The stench didn't come 'til after this beat Smellin' like draw's, no reason no cause Put your hands up on the speaker And get smelly like ours You knew we was coming  Before we entered the door Cause you was smellin' rhyme When we walkin' down the hall We bring the funk worse than we dog Stinkin' like that ladies shittin' out We drop enough shit to keep the toilets clogged To keep the people jumpin'  Like them in full force The first one who smelt it, is the one who dealt it The Black Eyed Peas keep the scent fly like Delta Funky like onions, you cryin' (You always cryin') girl you ain't   [Chorus]   Yo, you funkin' with the funk family The non-fabricated factual faculty We formulatin' up in a factory Focusin' on a the energy, the fluid flow free We flawless, everything is flaw free We flourish and we flaunt our flavor freshly Can you believe we flipped the frequency And freakin c's they all leave frantically But our intentions are to be friendly But they frighten when we start the free stylin' frenzy I funk up your flat 'til your girlfriend leave Fillin' all anatomy Bringin'  me flat Should be diggin' these rhymes fatty beats like cellulite Lyrics all flappy We bring the funk to your festivities If you think something stink, it must be the Peas   [Chorus]   Cellulite overweight stinkin' MC's Stench smell so strong its unsanitary Cause you sense me a mile away So junky the funk sound from Serengeti Meaty fat nasty like Miss Fat Booty Stripes getting dirty like mud fights and dirt bikes Turning these draw's black that's used to be white And shittin' on these tracks that you gonna need to wipe The odours so contagious that it shows up in your dreams Man you can pick me out like food in between Your two front teeth 'cause you be like in the streets We got beefy ass beats that we bumpin' in the street We salty not sweet like stink box of feet Sour underarm funky, we ain't washed in a week Now man we be reakin' every damn weekend We can all bounce to the funk and the season   [Bridge] Bounce, bounce, bounce Yeah that's funky Yeah that's funky If you smellin' somethin' funky  Then you know it got to be  Nobody other than Apl Well, let's say funk Cause you know that if you  Smell funk, then it must be us If you smellin' fat funk then it must be us   If you smellin' somethin' funky Then you know it got to be Nobody other than Apl Well, let's say funk Cause you know that if  It smells like funk Smellin' elephants, than it must be us   If you smellin' somethin' funky Then you know it got to be Nobody other than Apl Well, let's say funk Cause you know that if  It smells like funk  Elephant shit, it must be us   Elephant, it's what you want Cellulite, it's all right Elephant, it's what you want Cellulite, it's all right   Some thing's that are fat you should not get rid of But there is some fat you should burn...",Black Eye Peas
Latin Girls,"[Chorus:] Cuban girls Cuban girls  Puerto Rican girls Puerto Rican girls Mexican girls Mexican girls Spanish girls Spanish girls I like 'em girls, girls  Latin girls, Latin girls  Latin girls, what's happenin' girls  What's happenin' girls, what's happenin'?  I like Latin, them Latin women An' they love me 'cause  I'm that man with  Coconuts and chocolate skin I'm that mocha masculine  Feminines that are Latin Call your friends and call your cousins Cause I know you got dozens of them Marias, Elizabeth, Sonias, and Blancas When I see you, you can get boned if you want to Yo quiero and I'm sincero If you never had an eechee  Let me be your primo We could hit the channel, we can dance the bolero Have a shopping spree and you can spend my dinero but I wish you was more like J. Lo 'cause  Love don't cost a thing So won't you let this king Love the queen of Argentina  Girl you know you know what I mean Cause I like them  [Chorus]  Que on da quieres con mi Mira mucha cha esto para ti Latina chichana por mi Mas finas me gustan asi Mira a, mira a mami Esperate, esperate, esperate aqui  We could connect and act humanly  Indulge in animalistic swing We could have conversation or  Sexual relation or  We can explore find out more about  Things we've done before Whether it be kinky thoughts I'm gon' make your chonies drop Watch mister shorty rock I'll rock your sticky spot Hombre lumbre known to make it hot  I'll make you drip drop They call me Cum-a-lot I like 'em   [Chorus]  [Bridge] Melody  Para mi so sera Para ti sera para ti Empty eyes  Fue goden trode mi Say Latin girls Latin girls   Pasa senorita  You're a brown skin mama A yo mama sana wanna take you to Havana We could get down every day of the semana Dance to the music and follow the guitara Come on... Dame un mento y lo bevo con un beso Take you to Phillip-pines Then you don't have to spend a peso We got connections like a novel to a reader I can relate 'cause Latin girls look Filipina Check your history there's no mystery between us Destiny made it possible to be us I know about your culture 'cause it's mixed with mine We go together well just like beats and rhymes Tequilas and limes So let's combine And I'll say it one more time  I like them...  [Chorus]",Black Eye Peas
Sexy,"I took your picture, with one particular reason and its to capture your character, I like to sit and stare at 'cha Ain't nothin wrong with starin' at cha Girl don't be scared at the fact that I envision us getting married  And I ain't tryin' to rush nuttin' 'Cuz I ain't rushin' It'll take a time like ""What's them things that move slow you know them...damn.. I can't think 'cuz you on my mind..."" And when you on my mind I can't find anything to rhyme with rhyme I gotta rhyme rhyme with mixture And speakin' of mixture With you I wanna get mixed up I'm like a record and your like a record So let's let the DJ mix us You're like an elixir That's got me tipsy, This is just like ripplets Believe it or not girl but I love you  [Chorus:] Girl you really got me goin' Outta control I don't know what I'm doin' Let's let it go And do what we do best Take off our clothes We look better undressed  [Bridge x2] Let's get sexy  Let's get sexy Sounds so good  Sounds so good Fightin' is rightin' Fightin' is rightin' Let's get sexy  It's so much more exciting  For you I'm a fanatic I'm a addict Your sexy antics turn me on like automatic No need to get dramatic But I gotta have it (Gimme gimme gimme gimme)  Gimme some of them sexual acrobatics Kama Sutra girl, anything that suits you girl Things you ain't used to girl Come over here and let me show you just how we will do it I'm a freak and you knew it Your a freak and I knew it Baby let's get to it  [Chorus]  Its called the S E X X X X  (Yes yes yes!)  You take me to ecstasy Without takin' ecstasy It's exactly like ecstasy When you layin' right next to me I'm sexin' you Sexin' you You sexin' me  Sexin' me It feels so damn natural What we doin' so naturally I'm likin' you rubbin' me  And you likin' me rubbin' you Da passions emaculate While you lovin' me lovin' you I put L-O-V-E in you I love me puttin' me in you Make love to you Just like Sergio Mendez play piano",Black Eye Peas
Fly Away,"When the world changes you adjust So on this joint right here we about to take flight y'all   Check it out y'all, check it out y'all Yo buddy what you gonna do Give it up give it up yeah What we came to do Show these people how we do it Mix it up mix it up yeah It's Black Eyed Peas y'all So check it out   You're here, so gone, This dusk as sudden night turns to dawn I know you've already been here too long Too long too long Although you won't see me fall from grace You step on my soul as you walk away My demons you'll never know I'm letting you go  [Chorus]  Fly away now Give it up give it up Get back on that truck  Got to keep movin'  Keep rappin' it up Mix it up mix it up Before the next stop You got to go now And fill up your cup Fly away now fly away now Switch it up switch it up Go hop on that bus No need to blow the horn I'll be tough, hey   You take a piece of me With you forever but darling I see  The world is who you belong to, not me So I set you free   [Chorus]  I be fallin' up, never fallin' down 'Cause I spread my wings  And I glide around town I let you go I know this  Find your home I miss you so Spread your wings let it flow Oh oh oh oh...   I be fallin' up, never fallin' down Cause I keep it on a high level, elevated ground   Live it up live it up Get back on that truck Got to keep movin' you rappin' it up Mix it up mix it up Before the next stop You got to go now  And fill up your cup   Got to get goin' Fly away now Gettin' goin' now Fly away now   Switch it up switch it up Go hop on that bus No need to blow the horn I'll be tough, hey   Get back on that truck Got to keep movin' you rappin' it up Mix it up mix it up Before the next stop You got to go now  And fill up your cup   Got to get going Fly away now Taking flight now Oh oh oh oh...   Switch it up switch it up Go hop on that bus No need to blow the horn  I'll be tough, ahhhhhh Flip it up flip it up Taking flight now  Oh oh oh oh... Getting going baby Switch it up switch it up Taking flight now  Oh oh oh oh... Live it up live it up Fly away now Switch it up  Fly away now Taking flight baby Oh oh oh oh... Doin' what right now Oh oh oh oh...",Black Eye Peas
The Boogie That Be,"Yo-you hear them sirens?  I know you hear 'em Don't get scared That ain't five-o No that's the funk yo' Yeah Don't act like you didn't know No It's just the way it goes Yeah When you're messin' with the funk Yeah You pump it in your trunk Yeah You know it's what you want Yeah  So just bump da bump da bump bump it up  [Chorus] Bounce boo to the boogie that be You know I want you to come boogie with me We can dip left slide right all night It's time to be wild freestyle  It's on and poppin'  Ain't no stoppin' Us from rockin'  From tonight till ten o'clock in the morning Got neighbours knockin'  Turn it down F*ck them go call the cops and watch them kids Walk in start boppin' heads to what that beat they droppin' He play funk, punk, and hip-hoppin' breakin' laws yeah Cultures shockin' We be pop lockin' and mashin' I get down and groove to cuts Check my art of movin' butts Now these cats are scared to dance This beat next  Ooh There's my chance Come on girl  Let's go out and dance on the floor  Ha  [Chorus]  We can dance and dance, dance Said we can dance and dance, dance I wanna dance and dance, dance Oh we can dance and dance, dance  Fergie's chillin' Always illin' The way I make ya' sway Y'all feelin' That's how it is get down and jam If ya'll don't understand Check it He rock makin' Street block shakin' Love life's great when it's house quakin' Speakers thumpin' the whole joint jumpin' Disco funkin' get your booty bumpin' This beat's bangin' I'm rap talkin' Sweet spit slangin' keep your feet hoppin' Dirty dancin' nasty naughty Move that chassie Pump it hottie  Cause when I hear music I just lose it I wanna do it with you And when I hear music I get into it I wanna do it with you  Ha  [Chorus]  We can dance and dance, dance Said we can dance and dance, dance I wanna dance and dance, dance Oh we can dance and dance, dance  Come on  Freak freak Ha Freak to the beat Ha Yeah Freak freak Ha Freak to the beat Ha Yeah freak freak It sound sweet Ha Yeah freak freak  And do it to the beat Ha  Y'all What the hell y'all come here for If y'all ain't out there on that floor Ya' asked me to bring it Hey I brought a little more I give it to ya' raw Give it to ya' hard core  Not contaminated  I'm gonna keep this pure Just for y'all for y'alls pleasure 'Cause all I wanna do is have a ball y'all Get on the floor y'all Freak freak y'all  [Chorus]",Black Eye Peas
